Initialization Time: 3528.74
Query, response, time
177:3258517 2669959 ((1)+).((57)+).((1)+).((7)+) 1+, 0, 0.00030286
178:3138459 3638952 (3.80.2.1.8.2.1.3)+ 1+, 0, 0.00022486
179:2385227 846350 (8U1U165U3U5U4)+ 1+, 1, 0.00347386
180:10255 235157 (11U128U1U2U23U13)+ 1+, 1, 0.00407886
181:2927072 2928161 (10.1.20.1.9.2.1.2)+ 1+, 0, 0.00029186
182:2238004 3452054 (1U170U53U6)+ 1+, 1, 0.0124879
183:2438610 2561265 (3U94U10U15U1U20)+ 1+, 0, 5.586e-05
184:2928063 396637 (92U85U1U76U112U10U32U2)+ 1+, 1, 0.00462186
185:711000 2415526 ((2)+).((1)+).((30)+).((3)+).((124)+).((64)+) 1+, 0, 3.586e-05
186:2658991 79461 (2U243)+ 1+, 1, 0.00028186
187:798197 1844610 (2.14.8.118)+ 1+, 0, 3.286e-05
188:1724780 722847 (28.53)+ 1+, 0, 0.00010786
189:3510741 505384 (1U49U3U4U59U6)+ 1+, 1, 0.00489686
190:547690 2557332 ((2)+).((1)+).((3)+).((1)+).((4)+).((1)+).((223)+).((1)+) 1+, 0, 2.586e-05
191:2123591 798293 ((26)+).((8)+) 1+, 0, 6.086e-05
192:1999703 122167 (8U70U3U9U56U4U7U2)+ 1+, 1, 0.00746386
193:1939668 675038 (6.148)+ 1+, 0, 0.00064986
194:1761152 3232123 ((15)+).((32)+) 1+, 0, 5.286e-05
195:831604 632728 ((16)+).((1)+).((16)+).((3)+).((1)+).((3)+) 1+, 0, 0.00019286
196:2333211 3642402 (45U2U34U32)+ 1+, 1, 0.00585086
197:3327392 2791347 (29.5.4.3)+ 1+, 0, 0.00016386
198:3413958 511688 (2.8.1.34.1.8.1.11)+ 1+, 0, 0.00016086
199:480159 1548188 (1U123)+ 1+, 1, 0.0106369
200:33968 3644273 ((1)+).((62)+).((1)+).((2)+) 1+, 0, 0.00015286
201:3428853 3204938 (172.3.1.3)+ 1+, 0, 6.386e-05
202:3283769 3236000 ((32)+).((1)+) 1+, 0, 0.00068386
203:1838036 1216888 (149U4U14U1U3U2)+ 1+, 1, 0.0260769
204:2844670 1867912 (65.1.192.52.1.61)+ 1+, 0, 5.486e-05
205:1569648 3579873 (27U1U7U51U11U17)+ 1+, 1, 0.0126709
206:815989 2538956 ((18)+).((3)+).((2)+).((7)+).((3)+).((99)+) 1+, 0, 4.286e-05
207:663094 1972766 (1U2U4U17U8U3)+ 1+, 0, 0.00028586
208:2444491 557977 (1U78)+ 1+, 1, 0.00625086
209:1277171 115107 (31.8.2.14.56.24)+ 1+, 0, 3.886e-05
210:939905 3330354 (1.36.27.1.7.64)+ 1+, 0, 0.00026486
211:204021 621506 (4.87.1.2)+ 1+, 0, 0.00017886
212:708300 2756723 (1.103.46.32.3.5)+ 1+, 0, 0.00010886
213:3383098 1937 (2U4U1U69U5U147U79U81)+ 1+, 1, 0.0202419
214:1281763 3441991 ((8)+).((1)+).((116)+).((60)+) 1+, 1, 0.0126789
215:2059342 382227 (2.20.1.26)+ 1+, 0, 6.286e-05
216:3089853 3352407 (88.7.6.30)+ 1+, 0, 5.186e-05
217:2179685 2408145 (5U3U2U1U15U4U102U6)+ 1+, 1, 0.00969086
218:1646743 1016277 (7U4U35U8U1U2U3U16)+ 1+, 1, 0.00476886
219:2390117 2629040 (60.3.1.2.9.1)+ 1+, 0, 0.00012986
220:3134713 523195 ((2)+).((1)+).((38)+).((4)+).((1)+).((15)+) 1+, 0, 0.00094786
221:1070560 1012323 ((1)+).((4)+).((11)+).((2)+).((1)+).((2)+) 1+, 0, 0.00134886
222:486237 1694826 (1U81U2U11)+ 1+, 0, 0.00032286
223:608453 146317 (3U167U9U1)+ 1+, 1, 0.00457586
224:2374012 2655849 ((4)+).((1)+).((50)+).((1)+) 1+, 0, 1.486e-05
225:910654 46864 (26.1.13.1.9.1)+ 1+, 0, 2.386e-05
226:826137 2265468 (90U18U3U7U17U42U1U2)+ 1+, 1, 0.00463386
227:3486085 2355311 ((8)+).((1)+).((25)+).((1)+).((3)+).((1)+) 1+, 0, 0.00032386
228:3625503 3623819 ((14)+).((4)+).((1)+).((4)+) 1+, 0, 8.786e-05
229:2045160 3614092 ((1)+).((6)+).((3)+).((5)+) 1+, 0, 0.00099986
230:139503 1416031 (4U1U6U212U7U17)+ 1+, 0, 0.0173849
231:585159 1761995 (1U217U6U2)+ 1+, 1, 0.00918886
232:791017 649926 ((2)+).((21)+).((38)+).((1)+).((11)+).((59)+).((7)+).((1)+) 1+, 0, 0.0747379
233:1148155 1954559 (5.6.1.204.175.3.29.2)+ 1+, 0, 0.00025186
234:3491996 3432408 (1U8)+ 1+, 1, 0.00382386
235:161209 83046 ((3)+).((12)+).((1)+).((11)+).((186)+).((9)+) 1+, 0, 0.00135086
236:806169 1058295 ((1)+).((2)+).((3)+).((1)+) 1+, 0, 0.131003
237:2873997 662419 ((3)+).((4)+).((1)+).((7)+).((6)+).((37)+) 1+, 0, 1.486e-05
238:858995 1722660 ((176)+).((164)+).((93)+).((8)+).((47)+).((234)+).((1)+).((6)+) 1+, 0, 6.486e-05
239:1484430 2128391 (56U1U8U7U14U52)+ 1+, 1, 0.00694086
240:3478462 1970539 ((22)+).((1)+).((2)+).((11)+) 1+, 0, 3.486e-05
241:3527184 263486 (20.26.4.5.11.1)+ 1+, 0, 0.00070986
242:1246804 3119902 (231.40.2.1.2.16)+ 1+, 0, 4.286e-05
243:2313395 461191 ((19)+).((1)+).((3)+).((1)+).((3)+).((1)+) 1+, 0, 0.00045386
244:1988226 2712332 (1U60U12U2)+ 1+, 0, 3.586e-05
245:3494230 1971600 (134.46.25.1.13.1.2.1)+ 1+, 0, 0.00013786
246:1024104 554664 (1.6.1.35)+ 1+, 1, 0.00990186
247:1522532 3650301 (2.1.7.1)+ 1+, 1, 0.00725186
248:1506225 1566399 ((9)+).((3)+).((2)+).((19)+) 1+, 0, 0.00016986
249:2580854 2560598 ((2)+).((1)+).((228)+).((2)+).((116)+).((198)+) 1+, 0, 3.686e-05
