Initialization Time: 10.2061
Query, response, time
281:72121 60995 (5495U5493U15115U8833U425U764U13622U12294)+ 1+, 1, 0.00280792
282:80261 83926 (8268.5495.8833.16200)+ 1+, 0, 0.00031192
283:99520 37484 ((5493)+).((5495)+).((1090)+).((16448)+).((17248)+).((5493)+).((5559)+).((6230)+) 1+, 0, 0.0161509
284:32431 72739 ((16448)+).((6016)+).((17187)+).((1417)+).((5493)+).((9469)+).((5495)+).((6213)+) 1+, 0, 8.892e-05
285:38271 84979 (14436U7721U18360U5493U5189U4833U8268U2449)+ 1+, 1, 0.00145092
286:94829 39021 (5493U2449U2203U8510U4888U6325U9928U3025)+ 1+, 1, 0.00180492
287:14129 25062 ((1090)+).((5493)+) 1+, 1, 0.00239192
288:100970 48276 (6230.2644.2449.5493.5495.6327.13913.7573)+ 1+, 0, 8.92e-06
289:69236 78802 ((5493)+).((13225)+) 1+, 0, 9.192e-05
290:5308 47637 ((5493)+).((2006)+).((3898)+).((5493)+).((5351)+).((9928)+).((3288)+).((5495)+) 1+, 0, 0.0136919
291:53713 51914 (5493.5495.12156.5495)+ 1+, 1, 0.0218449
292:24521 5127 (11776U6230U5493U7403)+ 1+, 0, 0.00013692
293:65183 40595 (15902.482)+ 1+, 0, 0.00513192
294:19543 69840 ((14521)+).((8268)+).((1174)+).((5493)+).((13852)+).((5493)+).((9469)+).((14397)+) 1+, 0, 0.0179139
295:83427 99097 ((7445)+).((17225)+).((14052)+).((5493)+).((8931)+).((447)+) 1+, 0, 1.492e-05
296:67294 11185 ((8262)+).((16448)+) 1+, 0, 0.00072492
297:103788 70058 (13134U5493U5495U18360U8268U1891U2887U3633)+ 1+, 0, 1.292e-05
298:35234 27710 ((5495)+).((4833)+).((8268)+).((8721)+) 1+, 0, 0.00022492
299:91541 92621 (482.5493.17057.8510)+ 1+, 0, 6.392e-05
300:43257 77991 (6016.15224)+ 1+, 0, 0.00019292
301:59729 41538 (16757U17248U5495U13936U8268U5493)+ 1+, 1, 0.00324392
302:17340 75031 ((5493)+).((15115)+) 1+, 0, 1.192e-05
303:37359 13606 (7721.3961.5493.5495.6274.5493)+ 1+, 1, 0.00590692
304:11589 89331 ((3633)+).((9928)+).((15310)+).((5493)+) 1+, 0, 0.00014392
